market_id	n	coverage	reason
53315063178849587621181742980738758450209850373469316312936859422388300991714	2286	0.762	no_open_10s
39344335998599745776974728117994378638760469365265593826709731312166988568819	2085	0.695	no_open_10s
41602657542715535008074600001394578832796391648033434013654964699189856661503	1531	0.5103333333333333	no_open_10s
41399293179657561068317486717247040529025375234119340826117716804480752734339	2256	0.752	no_open_10s
101733068765535828268216514915491002078671663993136323792898105461918246182338	2489	0.8296666666666667	no_open_10s
51785368952068388838570102775633408656712919229418961402963024185232512379419	2243	0.7476666666666667	no_open_10s
103669840310222092302173471719641349089652553380217506368447365769627542532854	1914	0.638	no_open_10s
76238432388630778374124084372966351620093428664939444449663636990421219163345	1978	0.6593333333333333	no_open_10s
69871589311995052339866289149959004375939434380745545397370344886790946650730	2723	0.9076666666666666	no_open_10s
109734004129555270530748729577850276210136758934511797342074615487597246800896	2295	0.765	no_open_10s
15532928594703549624356863347961630781309414196298126254047236838513057116006	2376	0.792	no_open_10s
59388100097934885919071692522178001246228199965085438341433388207711959890468	2603	0.8676666666666667	no_open_10s
12647832101742988921474578914156196066311237418091488159460364082651354540906	2345	0.7816666666666666	no_open_10s
105781701454253736475806240054502596900890753853345988787545545173498825982206	2736	0.912	no_open_10s
73073682355680357396035875668644093876112268405677582487668225021149126535260	1062	0.354	no_open_10s
39047940251511250096473353084081613516834859053878790570261973151165680274626	2338	0.7793333333333333	no_open_10s
108411658369574001333141289445271717739701408404711639577224207480251954617643	2483	0.8276666666666667	no_open_10s
74384631995411144132648600913495183513349051300784891445258556844777225253610	1143	0.381	no_open_10s
79410239824103488584798880074865570912691554851439599249318084304725763153045	2565	0.855	no_open_10s
80848943645807780189474381738309092865295165124572817061814862053958207780963	2241	0.747	no_open_10s
54501162344710711000961327626422435311868659490985018078472384277519369916707	2671	0.8903333333333333	no_open_10s
2870071765957652604093443152981309181093474405709776992937201553835717128793	2119	0.7063333333333334	no_open_10s
96091727005504948574607997744255629984611466757807782437519809395313922329755	2184	0.728	no_open_10s
34301441573786002308120514039019363077655688682072622001919525738246565022505	1896	0.632	no_open_10s
51014432142266312593977890165832341332071395684436074174177967111323740325392	2260	0.7533333333333333	no_open_10s
15294858317693806076727451306017974880737275966881924318485125831849861101150	2448	0.816	no_open_10s
37792690401396464008756211482910276332956187680021054942323800520692323376167	2226	0.742	no_open_10s
107280534708443953218892868795145537474648779703934724849132979638957875370876	2344	0.7813333333333333	no_open_10s
115429701030538018057989493816514038231719428405095318080960436820817223571737	2391	0.797	no_open_10s
57866412129216317416111811198508736805274416018101695307081531094500576713376	2626	0.8753333333333333	no_open_10s
39809570077286222476918147341365847589319642577592224867480824720694233243537	2027	0.6756666666666666	no_open_10s
64047310959448313735645046724303492028606506301846991877955998791057670641222	2232	0.744	no_open_10s
84923089153645529501516818258519561792478062399476409817865244843552666510674	2269	0.7563333333333333	no_open_10s
106411298041865568955982415802124692785796650015439799095555347658759382813184	2313	0.771	no_open_10s
85391766660769752700316292460109450760535486769913608573879335420448718527024	2335	0.7783333333333333	no_open_10s
16595617651233318274768323023851988509132988486072141244494094677672114279979	2669	0.8896666666666667	no_open_10s
60531973562758631456899882651353145520588118924449257642168361465991886283021	2504	0.8346666666666667	no_open_10s
